,index,cause,effect,conceptual_explanation,t1,t2,t3,t1_filtered,t2_filtered,t3_filtered
91,dev-91,"Emma, who is a regular coffee drinker, is very hyper these days.",The doctor diagnosed him as caffeinism.,Caffeinism is a stimulated condition of chronic poisoning due to over-indulgence of caffeine.,who is a regular coffee drinker?,what is the cause of emma being hyper?,what is the doctor's diagnosis of caffeinism?,who is a regular coffee drinker?,what is the cause of emma being hyper?,what is the doctor's diagnosis of caffeinism?
92,dev-92,Tom eats some health products containing enzymes every day.,He defecates on time every day.,Metabolism takes place by enzymatic catalysis.,what does tom do every day?,what is the cause of tom defecating every day?,why does tom defecate on time every day?,what does tom do every day?,what is the cause of tom defecating every day?,why does tom defecate on time every day?
93,dev-93,The angry patient was injected depressants.,He felt calm and relaxed.,Depressants produce relaxed calm feelings.,what happened to the angry patient?,what was the cause of an angry patient?,how did the patient feel?,what happened to the angry patient?,what was the cause of an angry patient?,how did the patient feel?
94,dev-94,The victims were taken to the police office to identify the crimnimal.,They tried to recall the face of the criminal.,Criminals have faces.,the victims were taken to the police office to identify the crimnimal?,what was the cause of the victims going to the police office?,why does The victims were taken to the police office to identify the crimnimal cause They tried to recall the face of the criminal?,the victims were taken to the police office to identify the crimnimal?,what was the cause of the victims going to the police office?,why does The victims were taken to the police office to identify the crimnimal cause They tried to recall the face of the criminal?
95,dev-95,Lucy has bought a llot of fresh fruit.,She has made a glass of smoothy.,Smoothies are made of fresh fruit.,what kind of glass of fresh fruit has she bought?,why does Lucy has bought a llot of fresh fruit cause She has made a glass of smoothy?,what kind of fruit is the glass of smoothy?,what kind of glass of fresh fruit has she bought?,why does Lucy has bought a llot of fresh fruit cause She has made a glass of smoothy?,what kind of fruit is the glass of smoothy?
96,dev-96,He just took the pills.,He wants to sleep very much now.,Pills cause a desire to sleep.,who wanted to sleep very much?,how does he feel about sleeping?,why does he want to sleep now?,who wanted to sleep very much?,how does he feel about sleeping?,why does he want to sleep now?
97,dev-97,My mother stewed a mahimachi for me at noon.,I've been picking fish bones for a long time.,A mahimahi is a bony fish.,how long has my mother been picking mahimachi for me?,what is the cause of a mahimachi?,why do i pick fish bones?,how long has my mother been picking mahimachi for me?,what is the cause of a mahimachi?,why do i pick fish bones?
98,dev-98,They are botanists.,They collect specimens everyday.,Botanists collect specimens.,what type of botanists are they?,who collects specimens everyday?,why do they collect specimens everyday?,what type of botanists are they?,who collects specimens everyday?,why do they collect specimens everyday?
99,dev-99,The old man wants to catch some sunfish.,He caught a bluegill.,Bluegills are a member of the sunfish family.,what kind of sunfish did the old man catch?,what is the cause of an old man catching sunfish?,what kind of bluegill did the old man catch?,what kind of sunfish did the old man catch?,what is the cause of an old man catching sunfish?,what kind of bluegill did the old man catch?
100,dev-100,This mobile phone is not durable.,The battery often fails to charge.,Phones have cell batteries.,what type of battery fails to charge?,what is the cause of a mobile phone not being durable?,what happens when a mobile phone fails to charge?,what type of battery fails to charge?,what is the cause of a mobile phone not being durable?,what happens when a mobile phone fails to charge?
101,dev-101,Tom was finding the fly in his house at night.,He failed.,Flies are also interesting because they are only active during the day.,what was tom's problem with the fly?,what was the cause of tom's failure?,why did tom fail?,what was tom's problem with the fly?,what was the cause of tom's failure?,why did tom fail?
102,dev-102,The baby ground squirrels were hidden by their mom.,They were not found by the rattlesnakes.,Rattlesnakes love baby ground squirrels.,were the baby ground squirrels hidden by their moms?,were the baby ground squirrels hidden by their moms?,why does The baby ground squirrels were hidden by their mom cause They were not found by the rattlesnakes?,were the baby ground squirrels hidden by their moms?,were the baby ground squirrels hidden by their moms?,why does The baby ground squirrels were hidden by their mom cause They were not found by the rattlesnakes?
